"AdminArea" "Province" "Municipality" "med_price_house" "newshops" "bankrupcies" "Mean_income" "tax_forms" "hotel_restaur" "Industries" "health_social"
"Vlaams_Gewest" "West_Vlaanderen" "Brugge" 250 103 1440 27.34622 70884 288 580 118
"Vlaams_Gewest" "West_Vlaanderen" "Damme" 255.5 0 107 27.02005 6165 979 59 23
"Vlaams_Gewest" "West_Vlaanderen" "Jabbeke" 275 3 145 30.5752 7581 108 68 26
"Vlaams_Gewest" "West_Vlaanderen" "Oostkamp" 249 11 221 28.54654 12494 69 159 30
"Vlaams_Gewest" "West_Vlaanderen" "Torhout" 220 12 244 26.58547 11649 117 131 26
"Vlaams_Gewest" "West_Vlaanderen" "Zedelgem" 240 6 226 28.45127 12117 118 175 29
"Vlaams_Gewest" "West_Vlaanderen" "Zuienkerke" 247.5 1 31 29.10196 1554 109 19 4
"Vlaams_Gewest" "West_Vlaanderen" "Knokke_Heist" 305 38 710 32.44949 21228 30 132 31
"Vlaams_Gewest" "West_Vlaanderen" "Diksmuide" 198.75 8 176 23.82314 9220 8 119 17
"Vlaams_Gewest" "West_Vlaanderen" "Houthulst" 158 1 58 23.56179 5365 109 47 7
"Vlaams_Gewest" "West_Vlaanderen" "Koekelare" 190 3 79 24.09214 4876 39 62 11
"Vlaams_Gewest" "West_Vlaanderen" "Kortemark" 193 2 83 24.35043 6863 42 101 14
"Vlaams_Gewest" "West_Vlaanderen" "Lo_Reninge" 220 0 26 22.04064 1841 55 35 7
"Vlaams_Gewest" "West_Vlaanderen" "Ieper" 195 32 323 24.58689 20585 30 204 42
"Vlaams_Gewest" "West_Vlaanderen" "Mesen" 102 0 9 20.2304 543 222 2 0
"Vlaams_Gewest" "West_Vlaanderen" "Poperinge" 160 13 120 23.75627 11272 8 126 17
"Vlaams_Gewest" "West_Vlaanderen" "Wervik" 153.5 3 113 24.80817 10219 132 88 10
"Vlaams_Gewest" "West_Vlaanderen" "Zonnebeke" 185 0 65 24.70923 6749 80 86 14
"Vlaams_Gewest" "West_Vlaanderen" "Heuvelland" 181 0 73 21.99488 4600 51 38 13
"Vlaams_Gewest" "West_Vlaanderen" "Langemark_Poelkapelle" 180 2 29 24.25665 4324 100 46 7
"Vlaams_Gewest" "West_Vlaanderen" "Vleteren" 185 0 25 22.38369 2014 34 34 4
"Vlaams_Gewest" "West_Vlaanderen" "Anzegem" 220 4 127 28.61662 7698 29 185 7
"Vlaams_Gewest" "West_Vlaanderen" "Avelgem" 180 2 84 25.56631 5559 74 47 11
"Vlaams_Gewest" "West_Vlaanderen" "Deerlijk" 183.75 6 99 27.22389 6310 55 147 12
"Vlaams_Gewest" "West_Vlaanderen" "Harelbeke" 170 4 344 26.55965 15190 40 198 17
"Vlaams_Gewest" "West_Vlaanderen" "Kortrijk" 190 63 1203 26.75017 43743 130 524 85
"Vlaams_Gewest" "West_Vlaanderen" "Kuurne" 190 19 215 26.84273 7261 484 151 7
"Vlaams_Gewest" "West_Vlaanderen" "Lendelede" 210 1 51 26.67617 3142 82 50 4
"Vlaams_Gewest" "West_Vlaanderen" "Menen" 136 13 374 24.17193 18795 22 201 17
"Vlaams_Gewest" "West_Vlaanderen" "Waregem" 198 31 487 27.82247 20580 209 370 35
"Vlaams_Gewest" "West_Vlaanderen" "Wevelgem" 190 21 355 27.11824 17473 187 270 26
"Vlaams_Gewest" "West_Vlaanderen" "Zwevegem" 183.8 5 224 28.48344 13348 156 143 19
"Vlaams_Gewest" "West_Vlaanderen" "Spiere_Helkijn" 175 0 30 25.72053 1145 104 16 0
"Vlaams_Gewest" "West_Vlaanderen" "Bredene" 213.75 14 162 26.41907 9385 20 35 12
"Vlaams_Gewest" "West_Vlaanderen" "Gistel" 218 2 121 25.72832 6590 126 72 10
"Vlaams_Gewest" "West_Vlaanderen" "Ichtegem" 190 1 117 25.09698 7688 65 105 10
"Vlaams_Gewest" "West_Vlaanderen" "Middelkerke" 211 19 320 23.63466 11605 66 58 13
"Vlaams_Gewest" "West_Vlaanderen" "Oostende" 196 70 1198 23.36157 45051 306 250 34
"Vlaams_Gewest" "West_Vlaanderen" "Oudenburg" 200 0 62 26.36897 5093 660 43 7
"Vlaams_Gewest" "West_Vlaanderen" "DeHaan" 235 0 159 26.56256 7724 52 44 9
"Vlaams_Gewest" "West_Vlaanderen" "Hooglede" 205 0 93 27.15395 5481 204 92 9
"Vlaams_Gewest" "West_Vlaanderen" "Ingelmunster" 187.5 3 155 25.68211 5972 40 111 8
"Vlaams_Gewest" "West_Vlaanderen" "Izegem" 180 20 264 26.44959 15488 52 285 21
"Vlaams_Gewest" "West_Vlaanderen" "Ledegem" 194.5 0 86 26.11901 5175 147 98 10
"Vlaams_Gewest" "West_Vlaanderen" "Lichtervelde" 205 1 50 26.99147 4706 48 75 9
"Vlaams_Gewest" "West_Vlaanderen" "Moorslede" 183 1 84 24.98573 6109 50 69 7
"Vlaams_Gewest" "West_Vlaanderen" "Roeselare" 187.5 75 647 26.89101 33021 56 432 57
"Vlaams_Gewest" "West_Vlaanderen" "Staden" 200 0 76 24.4634 6142 338 102 12
"Vlaams_Gewest" "West_Vlaanderen" "Dentergem" 195 1 80 26.62956 4576 46 94 9
"Vlaams_Gewest" "West_Vlaanderen" "Meulebeke" 164 0 119 25.19186 6210 41 115 12
"Vlaams_Gewest" "West_Vlaanderen" "Oostrozebeke" 181.25 1 66 26.33076 4144 60 93 8
"Vlaams_Gewest" "West_Vlaanderen" "Pittem" 239 1 60 25.56053 3670 36 81 11
"Vlaams_Gewest" "West_Vlaanderen" "Ruiselede" 260 1 89 25.59802 2881 31 50 8
"Vlaams_Gewest" "West_Vlaanderen" "Tielt_Tielt" 206 10 160 26.46946 11360 17 188 26
"Vlaams_Gewest" "West_Vlaanderen" "Wielsbeke" 206 0 94 26.51058 4996 86 131 2
"Vlaams_Gewest" "West_Vlaanderen" "Wingene" 217.5 1 124 25.75348 7411 37 145 18
"Vlaams_Gewest" "West_Vlaanderen" "Ardooie" 180 0 97 26.04916 5186 57 88 10
"Vlaams_Gewest" "West_Vlaanderen" "Alveringem" 180 1 35 21.95375 2777 40 46 9
"Vlaams_Gewest" "West_Vlaanderen" "DePanne" 175.5 12 208 23.89452 6632 46 29 6
"Vlaams_Gewest" "West_Vlaanderen" "Koksijde" 250 10 342 32.37052 13439 165 52 16
"Vlaams_Gewest" "West_Vlaanderen" "Nieuwpoort" 210 7 231 24.02609 7127 275 52 6
"Vlaams_Gewest" "West_Vlaanderen" "Veurne" 210 16 164 23.85872 7016 148 100 11
"Vlaams_Gewest" "Oost_Vlaanderen" "Aalst_Aalst" 190 66 1384 27.72142 47900 105 336 60
"Vlaams_Gewest" "Oost_Vlaanderen" "Denderleeuw" 207.4 7 185 28.14536 10748 484 60 15
"Vlaams_Gewest" "Oost_Vlaanderen" "Geraardsbergen" 160 26 294 27.12108 18766 77 158 19
